eprewmean,misc/epoch,misc/total_timesteps
-107.16706279649198,0,2048
-102.08146787237293,1,4096
-97.14139207334004,2,6144
-92.33769590564705,3,8192
-88.46312744532013,4,10240
-84.02549853961494,5,12288
-80.6240921677939,6,14336
-77.45990439654994,7,16384
-73.77503067198593,8,18432
-70.64583945564723,9,20480
-67.9117379305354,10,22528
-65.1195184123805,11,24576
-62.36895047135735,12,26624
-59.85241519153307,13,28672
-57.58882666387387,14,30720
-55.448591909730034,15,32768
-53.417188710539904,16,34816
-51.568476684128335,17,36864
-49.7303418810718,18,38912
-47.17865384524573,19,40960
-45.5980219996855,20,43008
-44.10273347515131,21,45056
-42.671766860768344,22,47104
-41.332710190034184,23,49152
-40.05898942345495,24,51200
-38.85767566665317,25,53248
-37.70895185026707,26,55296
-36.6180475064123,27,57344
-35.594299022238324,28,59392
-34.60531494724048,29,61440
-33.651382950568404,30,63488
-32.74042112703293,31,65536
-31.87635560276122,32,67584
-31.040648044603948,33,69632
-30.247530040537576,34,71680
-29.48942753204727,35,73728
-28.760699958989875,36,75776
-28.070237651019298,37,77824
-27.40442225094148,38,79872
-26.459632980681484,39,81920
-25.863756431244642,40,83968
-25.292106509991754,41,86016
-24.7456689910671,42,88064
-24.221109896787514,43,90112
-23.717446183947597,44,92160
-23.23288053836657,45,94208
-22.764700646996797,46,96256
-22.315938551543198,47,98304
-21.883767723267127,48,100352
